업종,주소,주선인,성공여부,대분류
기타 금융업,서울특별시 중구 을지로5길 26 미래에셋센터원 이스트타워,미래에셋증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 을지로5길 26 미래에셋센터원,미래에셋증권 주식회사,심사승인,금융 및 보험업
기타 금융업,서울특별시 중구 을지로5길 26 (미래에셋센터원빌딩 이스트빌딩),미래에셋증권 주식회사,심사철회,금융 및 보험업
기타 금융업,서울특별시 중구 을지로5길 26,미래에셋증권 주식회사,심사승인,금융 및 보험업
"시멘트, 석회, 플라스터 및 그 제품 제조업",서울특별시 중구 을지로5길 16 삼화타워 5층,미래에셋증권 주식회사,심사승인,제조업2
금융 지원 서비스업,"서울특별시 중구 을지로 76, 유안타증권 빌딩",유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 중구 을지로 76(을지로2가, 유안타증권)",유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 중구 을지로 76(을지로2가, 유안타증권)",유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 을지로 76 유안타증권,유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 을지로 76 유안타증권,유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 을지로 76 유안타증권,유안타증권㈜,심사승인,금융 및 보험업
기타 금융업,서울특별시 중구 을지로 76 유안타증권,유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 중구 을지로 76 (을지로2가, 유안타증권)",유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 을지로 76,유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 을지로 76,유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 을지로 76,유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 을지로 76,유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 을지로 76,유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 을지로 76,유안타증권㈜,심사승인,금융 및 보험업
기타 상품 전문 소매업,서울특별시 중구 을지로 30,"미래에셋증권 주식회사,씨티그룹글로벌마켓증권㈜,메릴린치인터내셔날엘엘씨증권 서울지점",심사승인,도매 및 소매업
은행 및 저축기관,서울특별시 중구 을지로 170,"엔에이치투자증권주식회사,제이피모간증권회사 서울지점,씨티그룹글로벌마켓증권㈜,삼성증권㈜",심사승인,금융 및 보험업
부동산 임대 및 공급업,서울특별시 중구 을지로 100,"메리츠증권(주),KB증권㈜",심사승인,부동산업
여행사 및 기타 여행보조 서비스업,"서울특별시 중구 수표로 31(저동2가, 노랑풍선)",KB증권㈜,심사미승인,"사업시설 관리, 사업 지원 및 임대 서비스업"
여행사 및 기타 여행보조 서비스업,서울특별시 중구 수표로 31,"한국투자증권㈜,KB증권㈜",심사승인,"사업시설 관리, 사업 지원 및 임대 서비스업"
은행 및 저축기관,서울특별시 중구 소공로 51,한국투자증권㈜,심사승인,금융 및 보험업
부동산 임대 및 공급업,서울특별시 중구 소공로 116 서울센터빌딩 7층 701호,교보증권㈜,심사승인,부동산업
보험업,"서울특별시 중구 세종대로7길 37(순화동, 아이엔지센터)","삼성증권㈜,모건스탠리 인터내셔날증권회사 서울지점",심사승인,금융 및 보험업
자동차 신품 부품 제조업,서울특별시 중구 세종대로21길 49,신영증권㈜,심사승인,제조업4
유원지 및 기타 오락관련 서비스업,서울특별시 중구 세종대로 67 삼성본관빌딩,미래에셋증권 주식회사,심사승인,"예술, 스포츠 및 여가관련 서비스업"
부동산 임대 및 공급업,서울특별시 중구 세종대로 136 15층,"한국투자증권㈜,삼성증권㈜",심사승인,부동산업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사철회,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 삼일대로 343,대신증권㈜,심사승인,금융 및 보험업
기타 사업지원 서비스업,서울특별시 중구 삼일대로 299 성창빌딩 5층,미래에셋증권 주식회사,심사승인,"사업시설 관리, 사업 지원 및 임대 서비스업"
해상 운송업,"서울특별시 종로구 청계천로 35, 12층 (서린동, 관정빌딩)",키움증권㈜,심사미승인,운수 및 창고업
플라스틱제품 제조업,서울특별시 종로구 종로33길 31,한국투자증권㈜,심사승인,제조업1
자연과학 및 공학 연구개발업,서울특별시 종로구 종로1길 50 더케이트윈타워빌딩 에이동 9층(중학동),"한국투자증권㈜,KB증권㈜",심사철회,"전문, 과학 및 기술 서비스업"
부동산 임대 및 공급업,"서울특별시 종로구 종로 33 그랑서울, 18층",신한투자증권 주식회사,심사승인,부동산업
부동산 임대 및 공급업,서울특별시 종로구 종로 33 그랑서울,미래에셋증권 주식회사,심사승인,부동산업
부동산 임대 및 공급업,"서울특별시 종로구 종로 33 (청진동, 그랑서울) 1동 18층",한국투자증권㈜,심사승인,부동산업
석유 정제품 제조업,서울특별시 종로구 종로 26,"한국투자증권㈜,삼성증권㈜",심사철회,제조업2
"건축기술, 엔지니어링 및 관련 기술 서비스업",서울특별시 종로구 율곡로 75,"미래에셋증권 주식회사,KB증권㈜,골드만삭스증권 서울지점",심사승인,"전문, 과학 및 기술 서비스업"
일반 목적용 기계 제조업,서울특별시 종로구 율곡로 194,"엔에이치투자증권주식회사,유안타증권㈜",심사철회,제조업2
자연과학 및 공학 연구개발업,"서울특별시 종로구 새문안로5길 19,",하나증권주식회사,심사승인,"전문, 과학 및 기술 서비스업"
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",서울특별시 종로구 새문안로 76,KB증권㈜,심사철회,정보통신업
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",서울특별시 종로구 새문안로 76,KB증권㈜,심사승인,정보통신업
자연과학 및 공학 연구개발업,"서울특별시 종로구 사직로 130 적선현대빌딩, 10층 10호",엔에이치투자증권주식회사,심사승인,"전문, 과학 및 기술 서비스업"
의료용 기기 제조업,서울특별시 종로구 대학로 71,미래에셋증권 주식회사,심사승인,제조업3
의약품 제조업,서울특별시 종로구 대학로 103 서울대학교 암연구소 산학협력관 6층,대신증권㈜,심사철회,제조업3
의약품 제조업,서울특별시 종로구 대학로 103 서울대학교 암연구소 6층,대신증권㈜,심사중,제조업3
보험업,서울특별시 종로구 김상옥로 29,"삼성증권㈜,미래에셋증권 주식회사",심사승인,금융 및 보험업
소프트웨어 개발 및 공급업,서울특별시 용산구 한강대로7길 10-15 버넥트 익스피리언스센터,대신증권㈜,심사승인,정보통신업
영상 및 음향기기 제조업,서울특별시 용산구 한강대로 31 금영빌딩,미래에셋증권 주식회사,심사철회,제조업2
소프트웨어 개발 및 공급업,서울특별시 용산구 독서당로 97 (한남동),한국투자증권㈜,심사승인,정보통신업
금융 지원 서비스업,"서울특별시 영등포구 의사당대로1길 25, 606호",KB증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 영등포구 의사당대로 97, 17층",교보증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 영등포구 의사당대로 97, 17층",교보증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 97(여의도동),교보증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 97,교보증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 97,교보증권㈜,심사승인,금융 및 보험업
기타 금융업,서울특별시 영등포구 의사당대로 97,교보증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 97,교보증권㈜,심사승인,금융 및 보험업
기타 금융업,서울특별시 영등포구 의사당대로 97,교보증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 97,교보증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 97,교보증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 97,교보증권㈜,심사승인,금융 및 보험업
기타 금융업,서울특별시 영등포구 의사당대로 97,"교보증권㈜,㈜비엔케이투자증권",심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 88 한국투자증권빌딩,한국투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 88 한국투자증권빌딩,한국투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 88 한국투자증권 빌딩,한국투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 영등포구 의사당대로 88 (여의도동, 한국투자증권빌딩)",한국투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 88,한국투자증권㈜,심사중,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 88,한국투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 88,한국투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 88,한국투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 88,한국투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 88,한국투자증권㈜,심사승인,금융 및 보험업
